Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.580110497238,0.656192236599,0.555248618785
TEN,0.551351351351,0.599277978339,0.532432432432
ATL,0.630136986301,0.701465201465,0.61095890411
MIA,0.573446327684,0.637735849057,0.598870056497
KC,0.47397260274,0.606946983547,0.542465753425
BAL,0.588383838384,0.606418918919,0.535353535354
CAR,0.585635359116,0.62292051756,0.519337016575
PHI,0.5,0.606761565836,0.547872340426
DEN,0.620192307692,0.635048231511,0.596153846154
CIN,0.540201005025,0.618090452261,0.527638190955
CLE,0.616580310881,0.63321799308,0.668393782383
MIN,0.532608695652,0.604355716878,0.508152173913
HOU,0.582278481013,0.626057529611,0.615189873418
NYJ,0.558011049724,0.615101289134,0.53591160221
IND,0.623626373626,0.606227106227,0.57967032967
JAC,0.549450549451,0.625688073394,0.56043956044
NO,0.598445595855,0.665511265165,0.639896373057
DET,0.582089552239,0.690515806988,0.534825870647
DAL,0.582840236686,0.656126482213,0.556213017751
TB,0.541076487252,0.640151515152,0.549575070822
ARI,0.541333333333,0.638146167558,0.512
SF,0.605797101449,0.625968992248,0.56231884058
NYG,0.534090909091,0.623106060606,0.556818181818
WAS,0.593434343434,0.625,0.535353535354
SEA,0.563218390805,0.605363984674,0.560344827586
STL,0.551136363636,0.6463878327,0.568181818182
GB,0.544502617801,0.596858638743,0.547120418848
CHI,0.593495934959,0.640144665461,0.552845528455
NE,0.502475247525,0.592715231788,0.591584158416
BUF,0.58040201005,0.641541038526,0.552763819095
OAK,0.540389972145,0.595903165736,0.562674094708
SD,0.582446808511,0.609929078014,0.529255319149
