YEAR ====2009
Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.52602739726,0.621572212066,0.531506849315
TEN,0.555555555556,0.65306122449,0.516666666667
ATL,0.575197889182,0.640845070423,0.577836411609
MIA,0.615577889447,0.659395973154,0.562814070352
KC,0.525606469003,0.63963963964,0.568733153639
BAL,0.589189189189,0.70036101083,0.521621621622
CAR,0.55376344086,0.67684021544,0.540322580645
PHI,0.540616246499,0.657943925234,0.509803921569
DEN,0.584022038567,0.635359116022,0.512396694215
CIN,0.582446808511,0.620996441281,0.56914893617
CLE,0.594285714286,0.63619047619,0.56
MIN,0.594240837696,0.694055944056,0.549738219895
HOU,0.61170212766,0.67793594306,0.598404255319
NYJ,0.547425474255,0.653985507246,0.655826558266
IND,0.628491620112,0.742537313433,0.578212290503
JAC,0.58038147139,0.681818181818,0.50408719346
NO,0.532432432432,0.684115523466,0.591891891892
DET,0.583554376658,0.687943262411,0.564986737401
DAL,0.606469002695,0.726126126126,0.541778975741
TB,0.631728045326,0.708333333333,0.529745042493
ARI,0.617486338798,0.702554744526,0.543715846995
SF,0.566765578635,0.685148514851,0.629080118694
NYG,0.533333333333,0.68449197861,0.570666666667
WAS,0.531428571429,0.687619047619,0.597142857143
SEA,0.577720207254,0.700173310225,0.575129533679
STL,0.597222222222,0.666666666667,0.561111111111
GB,0.582010582011,0.679646017699,0.571428571429
CHI,0.595988538682,0.686424474187,0.547277936963
NE,0.576530612245,0.672354948805,0.512755102041
BUF,0.530674846626,0.685071574642,0.506134969325
OAK,0.610619469027,0.714566929134,0.542772861357
SD,0.616477272727,0.709125475285,0.545454545455
YEAR ====2010
Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.539325842697,0.578651685393,0.51404494382
TEN,0.601851851852,0.666666666667,0.595679012346
ATL,0.545454545455,0.64527027027,0.527777777778
MIA,0.5,0.61996497373,0.510471204188
KC,0.554404145078,0.655709342561,0.564766839378
BAL,0.56914893617,0.646536412078,0.526595744681
CAR,0.515759312321,0.695402298851,0.558739255014
PHI,0.601078167116,0.610810810811,0.56064690027
DEN,0.517711171662,0.676363636364,0.525885558583
CIN,0.563492063492,0.647787610619,0.513227513228
CLE,0.624624624625,0.646586345382,0.513513513514
MIN,0.581460674157,0.670411985019,0.505617977528
HOU,0.656914893617,0.668439716312,0.622340425532
NYJ,0.584382871537,0.704201680672,0.503778337531
IND,0.641221374046,0.69779286927,0.623409669211
JAC,0.578378378378,0.684684684685,0.543243243243
NO,0.623076923077,0.668376068376,0.620512820513
DET,0.612820512821,0.686106346484,0.546153846154
DAL,0.55614973262,0.72192513369,0.521390374332
TB,0.597733711048,0.666666666667,0.507082152975
ARI,0.649546827795,0.691532258065,0.604229607251
SF,0.619596541787,0.699421965318,0.518731988473
NYG,0.597883597884,0.648409893993,0.542328042328
WAS,0.640883977901,0.657458563536,0.627071823204
SEA,0.608695652174,0.703488372093,0.585507246377
STL,0.605670103093,0.70395869191,0.564432989691
GB,0.5525606469,0.673873873874,0.506738544474
CHI,0.595238095238,0.688492063492,0.565476190476
NE,0.546478873239,0.677966101695,0.518309859155
BUF,0.559659090909,0.71102661597,0.536931818182
OAK,0.605333333333,0.672597864769,0.525333333333
SD,0.55795148248,0.697297297297,0.533692722372
YEAR ====2011
Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.560773480663,0.633517495396,0.502762430939
TEN,0.630681818182,0.664772727273,0.610795454545
ATL,0.60253164557,0.671742808799,0.584810126582
MIA,0.564245810056,0.669158878505,0.578212290503
KC,0.551351351351,0.658844765343,0.502702702703
BAL,0.512953367876,0.702422145329,0.559585492228
CAR,0.559459459459,0.662454873646,0.543243243243
PHI,0.586486486486,0.621621621622,0.510810810811
DEN,0.586776859504,0.694290976059,0.614325068871
CIN,0.570652173913,0.66847826087,0.502717391304
CLE,0.565683646113,0.68458781362,0.514745308311
MIN,0.544198895028,0.661141804788,0.530386740331
HOU,0.584210526316,0.677192982456,0.597368421053
NYJ,0.579787234043,0.67615658363,0.526595744681
IND,0.621387283237,0.71098265896,0.526011560694
JAC,0.586956521739,0.682971014493,0.54347826087
NO,0.6,0.671009771987,0.592682926829
DET,0.625,0.699652777778,0.6171875
DAL,0.583333333333,0.692998204668,0.548387096774
TB,0.594900849858,0.708884688091,0.57507082153
ARI,0.584269662921,0.715355805243,0.556179775281
SF,0.538028169014,0.678571428571,0.557746478873
NYG,0.590909090909,0.6875,0.622994652406
WAS,0.604278074866,0.683363148479,0.53743315508
SEA,0.5,0.708178438662,0.569444444444
STL,0.527173913043,0.705989110708,0.505434782609
GB,0.581871345029,0.672514619883,0.555555555556
CHI,0.578651685393,0.682926829268,0.578651685393
NE,0.571794871795,0.699828473413,0.517948717949
BUF,0.609550561798,0.617260787992,0.601123595506
OAK,0.582633053221,0.65543071161,0.532212885154
SD,0.605670103093,0.684482758621,0.546391752577
YEAR ====2012
Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.552,0.665480427046,0.578666666667
TEN,0.549857549858,0.67619047619,0.51566951567
ATL,0.492021276596,0.643617021277,0.601063829787
MIA,0.535014005602,0.689138576779,0.526610644258
KC,0.549333333333,0.627450980392,0.562666666667
BAL,0.57486631016,0.685152057245,0.516042780749
CAR,0.579831932773,0.611214953271,0.529411764706
PHI,0.620512820513,0.635273972603,0.612820512821
DEN,0.611675126904,0.663282571912,0.515228426396
CIN,0.569920844327,0.649647887324,0.509234828496
CLE,0.587431693989,0.675182481752,0.521857923497
MIN,0.596153846154,0.675824175824,0.541208791209
HOU,0.5682382134,0.671641791045,0.560794044665
NYJ,0.627345844504,0.689964157706,0.600536193029
IND,0.559113300493,0.649093904448,0.564039408867
JAC,0.575418994413,0.664179104478,0.58938547486
NO,0.640102827763,0.718213058419,0.606683804627
DET,0.640371229698,0.731782945736,0.642691415313
DAL,0.647668393782,0.69723183391,0.663212435233
TB,0.587431693989,0.709854014599,0.625683060109
ARI,0.632,0.692170818505,0.610666666667
SF,0.51566951567,0.687619047619,0.535612535613
NYG,0.538243626062,0.671077504726,0.57507082153
WAS,0.585635359116,0.687615526802,0.566298342541
SEA,0.630555555556,0.676579925651,0.6
STL,0.60773480663,0.67955801105,0.577348066298
GB,0.609375,0.681739130435,0.515625
CHI,0.606648199446,0.672828096118,0.512465373961
NE,0.626146788991,0.669724770642,0.557339449541
BUF,0.553072625698,0.66852886406,0.502793296089
OAK,0.59842519685,0.678947368421,0.569553805774
SD,0.564383561644,0.725776965265,0.567123287671
YEAR ====2014
Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.544757033248,0.616040955631,0.572890025575
TEN,0.524390243902,0.661224489796,0.57012195122
ATL,0.622340425532,0.641207815275,0.61170212766
MIA,0.627659574468,0.629432624113,0.603723404255
KC,0.590909090909,0.648956356736,0.548295454545
BAL,0.601078167116,0.65045045045,0.530997304582
CAR,0.543147208122,0.633898305085,0.517766497462
PHI,0.515970515971,0.66393442623,0.511056511057
DEN,0.554404145078,0.6701208981,0.531088082902
CIN,0.578804347826,0.675724637681,0.567934782609
CLE,0.544715447154,0.664855072464,0.525745257453
MIN,0.54748603352,0.685288640596,0.513966480447
HOU,0.557894736842,0.66783831283,0.539473684211
NYJ,0.572916666667,0.657986111111,0.588541666667
IND,0.601990049751,0.690515806988,0.601990049751
JAC,0.552777777778,0.674074074074,0.544444444444
NO,0.609022556391,0.685092127303,0.616541353383
DET,0.645502645503,0.677876106195,0.584656084656
DAL,0.650537634409,0.724014336918,0.559139784946
TB,0.525222551929,0.702380952381,0.581602373887
ARI,0.618384401114,0.674721189591,0.576601671309
SF,0.520661157025,0.685661764706,0.534435261708
NYG,0.568475452196,0.694300518135,0.547803617571
WAS,0.615598885794,0.685873605948,0.512534818942
SEA,0.566844919786,0.643493761141,0.582887700535
STL,0.553314121037,0.709055876686,0.527377521614
GB,0.561307901907,0.712204007286,0.536784741144
CHI,0.644808743169,0.639344262295,0.628415300546
NE,0.609137055838,0.661590524535,0.573604060914
BUF,0.595744680851,0.689716312057,0.601063829787
OAK,0.60989010989,0.733944954128,0.574175824176
SD,0.595041322314,0.700367647059,0.62258953168
YEAR ====2015
Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.494444444444,0.702602230483,0.544444444444
TEN,0.579268292683,0.668032786885,0.603658536585
ATL,0.573394495413,0.641104294479,0.605504587156
MIA,0.55900621118,0.705394190871,0.503105590062
KC,0.552083333333,0.643356643357,0.515625
BAL,0.626213592233,0.664495114007,0.635922330097
CAR,0.553072625698,0.689138576779,0.513966480447
PHI,0.540983606557,0.622710622711,0.513661202186
DEN,0.609195402299,0.687258687259,0.534482758621
CIN,0.609467455621,0.683794466403,0.562130177515
CLE,0.615,0.663333333333,0.575
MIN,0.593939393939,0.643724696356,0.527272727273
HOU,0.614035087719,0.666666666667,0.592105263158
NYJ,0.579234972678,0.692307692308,0.551912568306
IND,0.536231884058,0.68064516129,0.632850241546
JAC,0.516853932584,0.684210526316,0.584269662921
NO,0.63133640553,0.737654320988,0.576036866359
DET,0.678571428571,0.748299319728,0.622448979592
DAL,0.571428571429,0.676,0.517857142857
TB,0.508982035928,0.730923694779,0.568862275449
ARI,0.5625,0.677083333333,0.536458333333
SF,0.543956043956,0.693726937269,0.549450549451
NYG,0.635897435897,0.698630136986,0.589743589744
WAS,0.559322033898,0.700757575758,0.64406779661
SEA,0.528205128205,0.690721649485,0.553846153846
STL,0.612244897959,0.690909090909,0.605442176871
GB,0.544871794872,0.67094017094,0.50641025641
CHI,0.56,0.716475095785,0.577142857143
NE,0.653409090909,0.692015209125,0.647727272727
BUF,0.497041420118,0.662698412698,0.544378698225
OAK,0.590361445783,0.673387096774,0.590361445783
SD,0.643192488263,0.660377358491,0.671361502347
