Team,TestAccuracy,TrainAccuracy,PlayDistribution
PIT,0.576819407008,0.695495495495,0.579514824798
TEN,0.534682080925,0.672447013487,0.517341040462
ATL,0.588709677419,0.716337522442,0.602150537634
MIA,0.536931818182,0.708333333333,0.534090909091
KC,0.497297297297,0.70990990991,0.562162162162
BAL,0.582655826558,0.714285714286,0.514905149051
CAR,0.524079320113,0.681818181818,0.526912181303
PHI,0.551813471503,0.663778162912,0.608808290155
DEN,0.592307692308,0.703767123288,0.512820512821
CIN,0.554666666667,0.723707664884,0.509333333333
CLE,0.555248618785,0.683918669131,0.522099447514
MIN,0.613888888889,0.710575139147,0.544444444444
HOU,0.515075376884,0.680067001675,0.557788944724
NYJ,0.5625,0.692028985507,0.600543478261
IND,0.600997506234,0.675540765391,0.571072319202
JAC,0.562146892655,0.659735349716,0.590395480226
NO,0.640625,0.71875,0.604166666667
DET,0.633802816901,0.732394366197,0.645539906103
DAL,0.65445026178,0.704028021016,0.662303664921
TB,0.533149171271,0.704251386322,0.629834254144
ARI,0.609164420485,0.691891891892,0.606469002695
SF,0.49710982659,0.672447013487,0.531791907514
NYG,0.575931232092,0.7030651341,0.575931232092
WAS,0.571428571429,0.676635514019,0.571428571429
SEA,0.560563380282,0.654135338346,0.594366197183
STL,0.575418994413,0.658582089552,0.578212290503
GB,0.521052631579,0.677816901408,0.515789473684
CHI,0.591036414566,0.687265917603,0.509803921569
NE,0.548611111111,0.661514683153,0.55787037037
BUF,0.559322033898,0.664150943396,0.505649717514
OAK,0.56914893617,0.696808510638,0.577127659574
SD,0.542936288089,0.67962962963,0.567867036011
