Team,TrainAccuracy,TestAccuracy,PlayDistribution
PIT,0.726432532,0.591160221,0.555248619
TEN,0.705776173,0.537837838,0.532432432
ATL,0.692307692,0.61369863,0.610958904
MIA,0.673584906,0.610169492,0.598870056
KC,0.68190128,0.520547945,0.542465753
BAL,0.721283784,0.598484848,0.535353535
CAR,0.702402957,0.582872928,0.519337017
PHI,0.690391459,0.563829787,0.54787234
DEN,0.665594855,0.610576923,0.596153846
CIN,0.686767169,0.560301508,0.527638191
CLE,0.686851211,0.621761658,0.668393782
MIN,0.658802178,0.527173913,0.508152174
HOU,0.671742809,0.556962025,0.615189873
NYJ,0.670349908,0.533149171,0.535911602
IND,0.672161172,0.60989011,0.57967033
JAC,0.732110092,0.57967033,0.56043956
NO,0.746967071,0.632124352,0.639896373
DET,0.725457571,0.584577114,0.534825871
DAL,0.721343874,0.556213018,0.556213018
TB,0.668560606,0.526912181,0.549575071
ARI,0.670231729,0.538666667,0.512
SF,0.724806202,0.550724638,0.562318841
NYG,0.693181818,0.576704545,0.556818182
WAS,0.697635135,0.555555556,0.535353535
SEA,0.639846743,0.566091954,0.560344828
STL,0.657794677,0.519886364,0.568181818
GB,0.670157068,0.560209424,0.547120419
CHI,0.68716094,0.582655827,0.552845528
NE,0.680463576,0.532178218,0.591584158
BUF,0.708542714,0.565326633,0.552763819
OAK,0.694599628,0.545961003,0.562674095
SD,0.682624113,0.609042553,0.529255319
